,Unnamed: 0,Track name,Genre,Source,License,Dataset,Duration
27,27,Chris Durban - Celebrate,Electronic,DSD,Restricted,train,301.5
28,28,Clara Berry And Wooldog - Air Traffic,Singer/Songwriter,MedleyDB,CC BY-NC-SA,train,173.2
29,29,Clara Berry And Wooldog - Stella,Singer/Songwriter,MedleyDB,CC BY-NC-SA,train,195.5
30,30,Clara Berry And Wooldog - Waltz For My Victims,Singer/Songwriter,MedleyDB,CC BY-NC-SA,train,175.2
31,31,Cnoc An Tursa - Bannockburn,Heavy Metal,DSD,Restricted,train,294.5
32,32,Creepoid - OldTree,Rock,MedleyDB,CC BY-NC-SA,train,302.0
33,33,Cristina Vane - So Easy,Pop/Rock,DSD,Restricted,test,253.9
34,34,Dark Ride - Burning Bridges,Heavy Metal,DSD,Restricted,train,232.6
35,35,Detsky Sad - Walkie Talkie,Pop/Rock,DSD,Restricted,test,190.2
36,36,Dreamers Of The Ghetto - Heavy Love,Pop,MedleyDB,CC BY-NC-SA,train,294.7
37,37,Drumtracks - Ghost Bitch,Pop/Rock,DSD,Restricted,train,356.8
38,38,Enda Reilly - Cur An Long Ag Seol,Pop/Rock,DSD,Restricted,test,186.8
39,39,Faces On Film - Waiting For Ga,Singer/Songwriter,MedleyDB,CC BY-NC-SA,train,257.4
40,40,Fergessen - Back From The Start,Pop/Rock,DSD,Restricted,train,168.5
41,41,Fergessen - Nos Palpitants,Pop/Rock,DSD,Restricted,train,198.2
42,42,Fergessen - The Wind,Pop/Rock,DSD,Restricted,train,191.8
43,43,Flags - 54,Pop/Rock,DSD,Restricted,train,315.1
44,44,Forkupines - Semantics,Pop/Rock,DSD,Restricted,test,273.3
45,45,Georgia Wonder - Siren,Pop/Rock,DSD,Restricted,test,430.1
46,46,Girls Under Glass - We Feel Alright,Electronic,DSD,Restricted,test,317.0
47,47,Giselle - Moss,Electronic,DSD,Restricted,train,201.6
48,48,Grants - PunchDrunk,Rap,MedleyDB,CC BY-NC-SA,train,204.4
49,49,Helado Negro - Mitad Del Mundo,Pop,MedleyDB,CC BY-NC-SA,train,181.6
50,50,Hezekiah Jones - Borrowed Heart,Singer/Songwriter,MedleyDB,CC BY-NC-SA,train,241.3
51,51,Hollow Ground - Ill Fate,Heavy Metal,DSD,Restricted,test,141.4
52,52,Hollow Ground - Left Blind,Heavy Metal,DSD,Restricted,train,159.0
53,53,Hop Along - Sister Cities,Rock,MedleyDB,CC BY-NC-SA,train,283.2
54,54,Invisible Familiars - Disturbing Wildlife,Singer/Songwriter,MedleyDB,CC BY-NC-SA,train,218.4
55,55,James Elder & Mark M Thompson - The English Actor,Heavy Metal,DSD,Restricted,test,205.2
56,56,James May - All Souls Moon,Pop/Rock,DSD,Restricted,train,220.8
57,57,James May - Dont Let Go,Pop/Rock,DSD,Restricted,train,241.9
58,58,James May - If You Say,Pop/Rock,DSD,Restricted,train,258.3
59,59,James May - On The Line,Pop/Rock,DSD,Restricted,train,256.0
60,60,Jay Menon - Through My Eyes,Pop/Rock,DSD,Restricted,train,253.1
61,61,Johnny Lokke - Promises & Lies,Pop/Rock,DSD,Restricted,train,285.8
62,62,Johnny Lokke - Whisper To A Scream,Pop/Rock,DSD,Restricted,train,255.3
63,63,"Jokers, Jacks & Kings - Sea Of Leaves",Pop/Rock,DSD,Restricted,train,191.4
64,64,Juliet's Rescue - Heartbeats,Pop/Rock,DSD,Restricted,test,267.4
65,65,Leaf - Come Around,Pop/Rock,DSD,Restricted,train,264.3
66,66,Leaf - Summerghost,Pop/Rock,DSD,Restricted,train,231.8
67,67,Leaf - Wicked,Pop/Rock,DSD,Restricted,train,190.6
68,68,Little Chicago's Finest - My Own,Rap,DSD,Restricted,test,281.4
69,69,Louis Cressy Band - Good Time,Pop/Rock,DSD,Restricted,test,292.6
70,70,Lushlife - Toynbee Suite,Rap,MedleyDB,CC BY-NC-SA,train,628.3
71,71,Lyndsey Ollard - Catching Up,Pop/Rock,DSD,Restricted,test,227.2
72,72,M.E.R.C. Music - Knockout,Rap,DSD,Restricted,test,269.8
73,73,Matthew Entwistle - Dont You Ever,Jazz,MedleyDB,CC BY-NC-SA,train,113.8
74,74,Meaxic - Take A Step,Rock,MedleyDB,CC BY-NC-SA,train,282.5
75,75,Meaxic - You Listen,Rock,MedleyDB,CC BY-NC-SA,train,412.5
76,76,Moosmusic - Big Dummy Shake,Pop/Rock,DSD,Restricted,test,198.6
77,77,Motor Tapes - Shore,Pop/Rock,DSD,Restricted,test,246.5
78,78,Mu - Too Bright,Pop/Rock,DSD,Restricted,test,271.9
79,79,Music Delta - 80s Rock,Rock,MedleyDB,CC BY-NC-SA,train,36.7
80,80,Music Delta - Beatles,Singer/Songwriter,MedleyDB,CC BY-NC-SA,train,36.1
81,81,Music Delta - Britpop,Pop,MedleyDB,CC BY-NC-SA,train,36.5
82,82,Music Delta - Country1,Country,MedleyDB,CC BY-NC-SA,train,34.5
83,83,Music Delta - Country2,Country,MedleyDB,CC BY-NC-SA,train,17.2
84,84,Music Delta - Disco,Pop,MedleyDB,CC BY-NC-SA,train,124.5
85,85,Music Delta - Gospel,Pop,MedleyDB,CC BY-NC-SA,train,75.5
86,86,Music Delta - Grunge,Rock,MedleyDB,CC BY-NC-SA,train,41.6
87,87,Music Delta - Hendrix,Rock,MedleyDB,CC BY-NC-SA,train,19.6
88,88,Music Delta - Punk,Rock,MedleyDB,CC BY-NC-SA,train,28.5
89,89,Music Delta - Reggae,Rock,MedleyDB,CC BY-NC-SA,train,17.2
90,90,Music Delta - Rock,Rock,MedleyDB,CC BY-NC-SA,train,12.8
91,91,Music Delta - Rockabilly,Rock,MedleyDB,CC BY-NC-SA,train,25.7
92,92,Nerve 9 - Pray For The Rain,Pop/Rock,DSD,Restricted,test,343.5
93,93,Night Panther - Fire,Pop,MedleyDB,CC BY-NC-SA,train,212.8
94,94,North To Alaska - All The Same,Pop/Rock,DSD,Restricted,train,247.9
95,95,Patrick Talbot - A Reason To Leave,Jazz,DSD,Restricted,train,259.5
96,96,Patrick Talbot - Set Me Free,Jazz,DSD,Restricted,train,289.7
97,97,Phre The Eon - Everybody's Falling Apart,Pop/Rock,DSD,Restricted,train,224.2
98,98,Port St Willow - Stay Even,Singer/Songwriter,MedleyDB,CC BY-NC-SA,train,316.8
99,99,PR - Happy Daze,Electronic,Native Instruments,Restricted,test,162.5
100,100,PR - Oh No,Electronic,Native Instruments,Restricted,test,76.0
101,101,Punkdisco - Oral Hygiene,Pop/Rock,DSD,Restricted,test,221.4
102,102,Raft Monk - Tiring,Pop/Rock,DSD,Restricted,test,212.0
103,103,Remember December - C U Next Time,Pop/Rock,DSD,Restricted,train,242.5
104,104,Sambasevam Shanmugam - Kaathaadi,Pop/Rock,DSD,Restricted,test,317.6
105,105,Secret Mountains - High Horse,Pop,MedleyDB,CC BY-NC-SA,train,355.3
106,106,Secretariat - Borderline,Pop/Rock,DSD,Restricted,test,286.6
107,107,Secretariat - Over The Top,Pop/Rock,DSD,Restricted,test,250.9
108,108,Side Effects Project - Sing With Me,Rap,DSD,Restricted,test,243.4
109,109,Signe Jakobsen - What Have You Done To Me,Pop/Rock,DSD,Restricted,test,177.2
110,110,Skelpolu - Human Mistakes,Electronic,DSD,Restricted,train,324.4
111,111,Skelpolu - Resurrection,Electronic,DSD,Restricted,test,395.4
112,112,Skelpolu - Together Alone,Electronic,DSD,Restricted,train,325.8
113,113,Snowmine - Curfews,Pop,MedleyDB,CC BY-NC-SA,train,275.0
114,114,Speak Softly - Broken Man,Pop/Rock,DSD,Restricted,test,252.9
115,115,Speak Softly - Like Horses,Pop/Rock,DSD,Restricted,test,312.4
116,116,Spike Mullings - Mike's Sulking,Pop/Rock,DSD,Restricted,train,256.6
117,117,Spike Mullings - Mike's Sulking,Rock,DSD,CC BY-NC-SA,train,256.6
118,118,St Vitus - Word Gets Around,Pop/Rock,DSD,Restricted,train,247.0
119,119,Steven Clark - Bounty,Pop,MedleyDB,CC BY-NC-SA,train,289.2
120,120,Strand Of Oaks - Spacestation,Pop,MedleyDB,CC BY-NC-SA,train,243.6
121,121,Sweet Lights - You Let Me Down,Pop,MedleyDB,CC BY-NC-SA,train,391.7
122,122,Swinging Steaks - Lost My Way,Pop/Rock,DSD,Restricted,train,309.9
123,123,The Districts - Vermont,Rock,MedleyDB,CC BY-NC-SA,train,227.9
124,124,The Doppler Shift - Atrophy,Pop/Rock,DSD,Restricted,test,331.2
125,125,The Easton Ellises - Falcon 69,Pop/Rock,C't Remix Comp.,CC BY-NC-SA 3.0,test,246.7
126,126,The Easton Ellises (Baumi) - SDRNR,Pop/Rock,C't Remix Comp.,CC BY-NC-SA 3.0,test,234.4
127,127,The Long Wait - Back Home To Blue,Pop/Rock,DSD,Restricted,train,260.4
128,128,The Long Wait - Dark Horses,Pop/Rock,DSD,Restricted,test,305.5
129,129,The Mountaineering Club - Mallory,Pop/Rock,DSD,Restricted,test,244.2
130,130,The Scarlet Brand - Les Fleurs Du Mal,Rock,MedleyDB,CC BY-NC-SA,train,303.4
131,131,The So So Glos - Emergency,Rock,MedleyDB,CC BY-NC-SA,train,166.8
132,132,The Sunshine Garcia Band - For I Am The Moon,Reggae,DSD,Restricted,test,320.1
133,133,The Wrong'Uns - Rothko,Pop/Rock,DSD,Restricted,train,202.1
134,134,Tim Taler - Stalker,Pop/Rock,DSD,Restricted,train,237.6
135,135,Timboz - Pony,Heavy Metal,DSD,Restricted,test,252.8
136,136,Titanium - Haunted Age,Heavy Metal,DSD,Restricted,train,248.0
137,137,Tom McKenzie - Directions,Pop/Rock,DSD,Restricted,test,175.6
138,138,Traffic Experiment - Once More (With Feeling),Pop/Rock,DSD,Restricted,train,435.0
139,139,Traffic Experiment - Sirens,Pop/Rock,DSD,Restricted,train,421.2
140,140,Triviul - Angelsaint,Pop/Rock,DSD,Restricted,train,236.7
141,141,Triviul - Dorothy,Pop/Rock,DSD,Restricted,train,187.3
142,142,Triviul feat. The Fiend - Widow,Pop/Rock,DSD,Restricted,test,234.9
143,143,Voelund - Comfort Lives In Belief,Pop/Rock,DSD,Restricted,train,209.9
144,144,Wall Of Death - Femme,Heavy Metal,DSD,Restricted,train,238.9
145,145,We Fell From The Sky - Not You,Heavy Metal,DSD,Restricted,test,207.7
146,146,Young Griffo - Blood To Bone,Heavy Metal,DSD,Restricted,train,254.3
147,147,Young Griffo - Facade,Heavy Metal,DSD,Restricted,train,167.8
148,148,Young Griffo - Pennies,Heavy Metal,DSD,Restricted,train,277.8
149,149,Zeno - Signs,Pop/Rock,DSD,Restricted,test,234.1
